Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search,Chrome 128.0.0.0,,,01-09-2024 18:38:29,01-09-2024 18:40:53,2m - 24.084s,FAILED
,,,,,,,
Test Cases/Search Product By Category,Chrome 128.0.0.0,,,01-09-2024 18:40:14,01-09-2024 18:40:49,34.541s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,01-09-2024 18:40:14,01-09-2024 18:40:15,0.796s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,01-09-2024 18:40:15,01-09-2024 18:40:16,1.315s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/input__keyword""), ""reptiles"")",Chrome 128.0.0.0,,,01-09-2024 18:40:16,01-09-2024 18:40:17,0.584s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_JPetStore Demo/input__keyword""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,01-09-2024 18:40:17,01-09-2024 18:40:17,0.478s,PASSED
"verifyElementPresent(findTestObject(""Page_JPetStore Demo/td_reptiles""), 0)",Chrome 128.0.0.0,,,01-09-2024 18:40:17,01-09-2024 18:40:49,31.353s,FAILED
,,,,,,,
Test Cases/Search Product By Name,Chrome 128.0.0.0,,,01-09-2024 18:40:49,01-09-2024 18:40:53,4.254s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,01-09-2024 18:40:49,01-09-2024 18:40:50,0.846s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,01-09-2024 18:40:50,01-09-2024 18:40:51,1.753s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/input__keyword""), ""goldfish"")",Chrome 128.0.0.0,,,01-09-2024 18:40:51,01-09-2024 18:40:52,0.603s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_JPetStore Demo/input__keyword""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,01-09-2024 18:40:52,01-09-2024 18:40:53,0.694s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_JPetStore Demo/td_Goldfish""), 0)",Chrome 128.0.0.0,,,01-09-2024 18:40:53,01-09-2024 18:40:53,0.236s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,01-09-2024 18:40:53,01-09-2024 18:40:53,0.090s,PASSED
