Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Invalid search,Chrome 128.0.0.0,,,05-09-2024 22:03:06,05-09-2024 22:04:11,1m - 4.893s,FAILED
,,,,,,,
Test Cases/Searching/Search Product Empty,Chrome 128.0.0.0,,,05-09-2024 22:03:06,05-09-2024 22:03:19,13.071s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,05-09-2024 22:03:06,05-09-2024 22:03:15,8.991s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 128.0.0.0,,,05-09-2024 22:03:15,05-09-2024 22:03:16,0.945s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Search Product/Search Product Empty/h2_Welcome to JPetStore 6""), 0)",Chrome 128.0.0.0,,,05-09-2024 22:03:16,05-09-2024 22:03:16,0.487s,PASSED
"click(findTestObject(""Object Repository/Search Product/Search Product Empty/a_Enter the Store""))",Chrome 128.0.0.0,,,05-09-2024 22:03:16,05-09-2024 22:03:17,1.191s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Search Product/Search Product Empty/input__searchProducts""))",Chrome 128.0.0.0,,,05-09-2024 22:03:17,05-09-2024 22:03:18,0.256s,PASSED
"click(findTestObject(""Object Repository/Search Product/Search Product Empty/input__searchProducts""))",Chrome 128.0.0.0,,,05-09-2024 22:03:18,05-09-2024 22:03:18,0.483s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Search Product/Search Product Empty/li_Please enter a keyword to search for, th_53394b""))",Chrome 128.0.0.0,,,05-09-2024 22:03:18,05-09-2024 22:03:18,0.268s,PASSED
"result = getText(findTestObject(""Object Repository/Search Product/Search Product Empty/li_Please enter a keyword to search for, th_53394b""))",Chrome 128.0.0.0,,,05-09-2024 22:03:18,05-09-2024 22:03:19,0.234s,PASSED
"assert result == ""Please enter a keyword to search for, then press the search button.""",Chrome 128.0.0.0,,,05-09-2024 22:03:19,05-09-2024 22:03:19,0.001s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,05-09-2024 22:03:19,05-09-2024 22:03:19,0.084s,PASSED
,,,,,,,
Test Cases/Searching/Search Product Typo,Chrome 128.0.0.0,,,05-09-2024 22:03:35,05-09-2024 22:03:40,5.107s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,05-09-2024 22:03:35,05-09-2024 22:03:36,0.862s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 128.0.0.0,,,05-09-2024 22:03:36,05-09-2024 22:03:37,0.687s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Search Product/Search Product Typo/h2_Welcome to JPetStore 6""), 0)",Chrome 128.0.0.0,,,05-09-2024 22:03:37,05-09-2024 22:03:37,0.478s,PASSED
"click(findTestObject(""Object Repository/Search Product/Search Product Typo/a_Enter the Store""))",Chrome 128.0.0.0,,,05-09-2024 22:03:37,05-09-2024 22:03:38,1.235s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Search Product/Search Product Typo/input__searchProducts""))",Chrome 128.0.0.0,,,05-09-2024 22:03:38,05-09-2024 22:03:39,0.257s,PASSED
"setText(findTestObject(""Object Repository/Search Product/Search Product Typo/input__keyword""), ""doug"")",Chrome 128.0.0.0,,,05-09-2024 22:03:39,05-09-2024 22:03:39,0.587s,PASSED
"sendKeys(findTestObject(""Object Repository/Search Product/Search Product Typo/input__keyword""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,05-09-2024 22:03:39,05-09-2024 22:03:40,0.494s,PASSED
"verifyElementVisible(findTestObject(""Search Product/Search Product Typo/table_Product IDName""))",Chrome 128.0.0.0,,,05-09-2024 22:03:40,05-09-2024 22:03:40,0.243s,PASSED
"table = findTestObject(""Object Repository/Search Product/Search Product Typo/table_Product IDName"")",Chrome 128.0.0.0,,,05-09-2024 22:03:40,05-09-2024 22:03:40,0.001s,PASSED
tableText = getText(table),Chrome 128.0.0.0,,,05-09-2024 22:03:40,05-09-2024 22:03:40,0.241s,PASSED
"isBulldogPresent = tableText.contains(""Bulldog"")",Chrome 128.0.0.0,,,05-09-2024 22:03:40,05-09-2024 22:03:40,0.001s,PASSED
"assert isBulldogPresent : ""The table does not contain 'Bulldog'.""",Chrome 128.0.0.0,,,05-09-2024 22:03:40,05-09-2024 22:03:40,0.001s,FAILED
,,,,,,,
Test Cases/Searching/Search Product Incomplete,Chrome 128.0.0.0,,,05-09-2024 22:03:40,05-09-2024 22:03:50,9.632s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,05-09-2024 22:03:40,05-09-2024 22:03:41,0.885s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 128.0.0.0,,,05-09-2024 22:03:41,05-09-2024 22:03:42,0.924s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Search Product/Search Product Incomplete/h2_Welcome to JPetStore 6""), 0)",Chrome 128.0.0.0,,,05-09-2024 22:03:42,05-09-2024 22:03:42,0.247s,PASSED
"click(findTestObject(""Object Repository/Search Product/Search Product Incomplete/a_Enter the Store""))",Chrome 128.0.0.0,,,05-09-2024 22:03:42,05-09-2024 22:03:43,1.145s,PASSED
