Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Booking,Chrome 128.0.0.0,,,11-09-2024 21:11:54,11-09-2024 21:20:36,8m - 42.150s,FAILED
,,,,,,,
Test Cases/Booking Successfully,Chrome 128.0.0.0,,,11-09-2024 21:11:54,11-09-2024 21:13:31,1m - 36.182s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,11-09-2024 21:11:55,11-09-2024 21:11:57,2.073s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,11-09-2024 21:11:57,11-09-2024 21:12:02,4.806s,PASSED
"click(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/a_Sign In""))",Chrome 128.0.0.0,,,11-09-2024 21:12:02,11-09-2024 21:12:02,0.794s,PASSED
"setText(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/input_Need a user name and password_username""), ""pollux"")",Chrome 128.0.0.0,,,11-09-2024 21:12:02,11-09-2024 21:13:11,1m - 8.930s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/input_Need a user name and password_password""), ""tzH6RvlfSTg="")",Chrome 128.0.0.0,,,11-09-2024 21:13:11,11-09-2024 21:13:13,1.994s,PASSED
"click(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 128.0.0.0,,,11-09-2024 21:13:13,11-09-2024 21:13:16,2.750s,PASSED
"click(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/img""))",Chrome 128.0.0.0,,,11-09-2024 21:13:16,11-09-2024 21:13:18,1.980s,PASSED
"click(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/a_K9-PO-02""))",Chrome 128.0.0.0,,,11-09-2024 21:13:18,11-09-2024 21:13:20,1.633s,PASSED
"click(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/a_Add to Cart""))",Chrome 128.0.0.0,,,11-09-2024 21:13:20,11-09-2024 21:13:22,2.017s,PASSED
"setText(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/input_false_EST-8""), ""2"")",Chrome 128.0.0.0,,,11-09-2024 21:13:22,11-09-2024 21:13:23,1.093s,PASSED
"click(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/input_Sub Total 18.50_updateCartQuantities""))",Chrome 128.0.0.0,,,11-09-2024 21:13:23,11-09-2024 21:13:23,0.672s,PASSED
"quantityText = getAttribute(findTestObject(""Object Repository/Booking Successfully/Page_JPetStore Demo/input_false_EST-8""), ""value"")",Chrome 128.0.0.0,,,11-09-2024 21:13:23,11-09-2024 21:13:24,0.291s,PASSED
quantity = Integer.parseInt(quantityText.trim()),Chrome 128.0.0.0,,,11-09-2024 21:13:24,11-09-2024 21:13:24,0.002s,PASSED
"verifyEqual(quantity, 2)",Chrome 128.0.0.0,,,11-09-2024 21:13:24,11-09-2024 21:13:24,0.023s,PASSED
