Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign up with same account info,Chrome 128.0.0.0,,,14-09-2024 00:19:29,14-09-2024 00:22:29,2m - 59.702s,PASSED
,,,,,,,
Test Cases/Sign Up Test Case/Sign up with same account info,Chrome 128.0.0.0,,,14-09-2024 00:19:29,14-09-2024 00:22:29,2m - 59.616s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,14-09-2024 00:19:29,14-09-2024 00:19:47,17.209s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 128.0.0.0,,,14-09-2024 00:19:47,14-09-2024 00:19:48,1.631s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with same account info/Page_JPetStore Demo/a_Enter the Store""))",Chrome 128.0.0.0,,,14-09-2024 00:19:48,14-09-2024 00:19:50,1.863s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with same account info/Page_JPetStore Demo/a_Sign In""))",Chrome 128.0.0.0,,,14-09-2024 00:19:50,14-09-2024 00:19:51,1.378s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with same account info/Page_JPetStore Demo/a_Register Now""))",Chrome 128.0.0.0,,,14-09-2024 00:19:51,14-09-2024 00:19:52,0.795s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with same account info/Page_JPetStore Demo/input_User ID_username""), ""kaka1"")",Chrome 128.0.0.0,,,14-09-2024 00:19:52,14-09-2024 00:20:55,1m - 3.180s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with same account info/Page_JPetStore Demo/input_User ID_username""))",Chrome 128.0.0.0,,,14-09-2024 00:20:55,14-09-2024 00:21:27,31.334s,PASSED
"userID = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with same account info/Page_JPetStore Demo/input_User ID_username""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 00:21:27,14-09-2024 00:21:58,31.469s,PASSED
