Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign up with same user info,Chrome 128.0.0.0,,,14-09-2024 15:57:10,14-09-2024 15:59:40,2m - 29.882s,PASSED
,,,,,,,
Test Cases/Sign Up Test Case/Sign up with same user info,Chrome 128.0.0.0,,,14-09-2024 15:57:10,14-09-2024 15:59:40,2m - 29.820s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,14-09-2024 15:57:10,14-09-2024 15:57:12,1.794s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 128.0.0.0,,,14-09-2024 15:57:12,14-09-2024 15:57:14,1.381s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/a_Enter the Store""))",Chrome 128.0.0.0,,,14-09-2024 15:57:14,14-09-2024 15:57:15,1.293s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/a_Sign In""))",Chrome 128.0.0.0,,,14-09-2024 15:57:15,14-09-2024 15:57:16,0.628s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/a_Register Now""))",Chrome 128.0.0.0,,,14-09-2024 15:57:16,14-09-2024 15:57:16,0.547s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_User ID_username""), ""kaka"")",Chrome 128.0.0.0,,,14-09-2024 15:57:16,14-09-2024 15:58:24,1m - 8.363s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_User ID_username""))",Chrome 128.0.0.0,,,14-09-2024 15:58:24,14-09-2024 15:58:56,31.280s,PASSED
"userID = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_User ID_username""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 15:58:56,14-09-2024 15:59:27,31.385s,PASSED
"assert userID == ""kaka""",Chrome 128.0.0.0,,,14-09-2024 15:59:27,14-09-2024 15:59:27,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_New password_password""), ""12345"")",Chrome 128.0.0.0,,,14-09-2024 15:59:27,14-09-2024 15:59:28,0.506s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_New password_password""))",Chrome 128.0.0.0,,,14-09-2024 15:59:28,14-09-2024 15:59:28,0.234s,PASSED
"password = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_New password_password""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 15:59:28,14-09-2024 15:59:28,0.224s,PASSED
"assert password == ""12345""",Chrome 128.0.0.0,,,14-09-2024 15:59:28,14-09-2024 15:59:28,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_Repeat password_repeatedPassword""), ""12345"")",Chrome 128.0.0.0,,,14-09-2024 15:59:28,14-09-2024 15:59:29,0.507s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_Repeat password_repeatedPassword""))",Chrome 128.0.0.0,,,14-09-2024 15:59:29,14-09-2024 15:59:29,0.236s,PASSED
"repeat_password = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_Repeat password_repeatedPassword""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 15:59:29,14-09-2024 15:59:29,0.226s,PASSED
"assert repeat_password == ""12345""",Chrome 128.0.0.0,,,14-09-2024 15:59:29,14-09-2024 15:59:29,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_First name_account.firstName""), ""hi"")",Chrome 128.0.0.0,,,14-09-2024 15:59:29,14-09-2024 15:59:30,0.512s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_First name_account.firstName""))",Chrome 128.0.0.0,,,14-09-2024 15:59:30,14-09-2024 15:59:30,0.234s,PASSED
"firstname = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_First name_account.firstName""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 15:59:30,14-09-2024 15:59:30,0.239s,PASSED
"assert firstname == ""hi""",Chrome 128.0.0.0,,,14-09-2024 15:59:30,14-09-2024 15:59:30,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_Last name_account.lastName""), ""hi"")",Chrome 128.0.0.0,,,14-09-2024 15:59:30,14-09-2024 15:59:31,0.515s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with same user info/Page_JPetStore Demo/input_Last name_account.lastName""))",Chrome 128.0.0.0,,,14-09-2024 15:59:31,14-09-2024 15:59:31,0.225s,PASSED
