Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign up with special character in userID,Chrome 128.0.0.0,,,14-09-2024 15:59:52,14-09-2024 16:00:50,58.104s,PASSED
,,,,,,,
Test Cases/Sign Up Test Case/Sign up with special character in userID,Chrome 128.0.0.0,,,14-09-2024 15:59:52,14-09-2024 16:00:50,58.044s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,14-09-2024 15:59:52,14-09-2024 15:59:54,1.779s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 128.0.0.0,,,14-09-2024 15:59:54,14-09-2024 15:59:55,1.012s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/a_Enter the Store""))",Chrome 128.0.0.0,,,14-09-2024 15:59:55,14-09-2024 15:59:56,1.190s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/a_Sign In""))",Chrome 128.0.0.0,,,14-09-2024 15:59:56,14-09-2024 15:59:57,0.530s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/a_Register Now""))",Chrome 128.0.0.0,,,14-09-2024 15:59:57,14-09-2024 15:59:57,0.502s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_User ID_username""), ""thuy*"")",Chrome 128.0.0.0,,,14-09-2024 15:59:57,14-09-2024 15:59:58,0.579s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_User ID_username""))",Chrome 128.0.0.0,,,14-09-2024 15:59:58,14-09-2024 15:59:58,0.240s,PASSED
"userID = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_User ID_username""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 15:59:58,14-09-2024 15:59:59,1.169s,PASSED
"assert userID == ""thuy*""",Chrome 128.0.0.0,,,14-09-2024 15:59:59,14-09-2024 15:59:59,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_New password_password""), ""12345"")",Chrome 128.0.0.0,,,14-09-2024 15:59:59,14-09-2024 16:00:03,4.035s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_New password_password""))",Chrome 128.0.0.0,,,14-09-2024 16:00:03,14-09-2024 16:00:05,1.979s,PASSED
"password = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_New password_password""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 16:00:05,14-09-2024 16:00:07,1.993s,PASSED
"assert password == ""12345""",Chrome 128.0.0.0,,,14-09-2024 16:00:07,14-09-2024 16:00:07,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_Repeat password_repeatedPassword""), ""12345"")",Chrome 128.0.0.0,,,14-09-2024 16:00:07,14-09-2024 16:00:11,4.025s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_Repeat password_repeatedPassword""))",Chrome 128.0.0.0,,,14-09-2024 16:00:11,14-09-2024 16:00:13,1.973s,PASSED
"repeat_password = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_Repeat password_repeatedPassword""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 16:00:13,14-09-2024 16:00:15,1.993s,PASSED
"assert repeat_password == ""12345""",Chrome 128.0.0.0,,,14-09-2024 16:00:15,14-09-2024 16:00:15,0.000s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_First name_account.firstName""), ""hi"")",Chrome 128.0.0.0,,,14-09-2024 16:00:15,14-09-2024 16:00:19,4.046s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_First name_account.firstName""))",Chrome 128.0.0.0,,,14-09-2024 16:00:19,14-09-2024 16:00:21,1.967s,PASSED
"firstname = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with special character in userID/input_First name_account.firstName""), ""value"")",Chrome 128.0.0.0,,,14-09-2024 16:00:21,14-09-2024 16:00:23,1.699s,PASSED
"assert firstname == ""hi""",Chrome 128.0.0.0,,,14-09-2024 16:00:23,14-09-2024 16:00:23,0.001s,PASSED
