Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign up with numeric userID,Chrome 128.0.0.0,,,17-09-2024 15:34:21,17-09-2024 15:35:08,46.449s,PASSED
,,,,,,,
Test Cases/Sign Up Test Case/Sign up with numeric userID,Chrome 128.0.0.0,,,17-09-2024 15:34:22,17-09-2024 15:35:08,46.385s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,17-09-2024 15:34:22,17-09-2024 15:34:23,1.289s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 128.0.0.0,,,17-09-2024 15:34:23,17-09-2024 15:34:24,1.060s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/a_Enter the Store""))",Chrome 128.0.0.0,,,17-09-2024 15:34:24,17-09-2024 15:34:25,1.322s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/a_Sign In""))",Chrome 128.0.0.0,,,17-09-2024 15:34:25,17-09-2024 15:34:26,0.555s,PASSED
"click(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/a_Register Now""))",Chrome 128.0.0.0,,,17-09-2024 15:34:26,17-09-2024 15:34:26,0.517s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/input_User ID_username""), ""12345"")",Chrome 128.0.0.0,,,17-09-2024 15:34:26,17-09-2024 15:34:30,3.706s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/input_User ID_username""))",Chrome 128.0.0.0,,,17-09-2024 15:34:30,17-09-2024 15:34:32,1.907s,PASSED
"userID = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/input_User ID_username""), ""value"")",Chrome 128.0.0.0,,,17-09-2024 15:34:32,17-09-2024 15:34:34,2.009s,PASSED
"assert userID == ""12345""",Chrome 128.0.0.0,,,17-09-2024 15:34:34,17-09-2024 15:34:34,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/input_New password_password""), ""12345"")",Chrome 128.0.0.0,,,17-09-2024 15:34:34,17-09-2024 15:34:38,4.016s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/input_New password_password""))",Chrome 128.0.0.0,,,17-09-2024 15:34:38,17-09-2024 15:34:40,1.983s,PASSED
"password = getAttribute(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/input_New password_password""), ""value"")",Chrome 128.0.0.0,,,17-09-2024 15:34:40,17-09-2024 15:34:42,1.995s,PASSED
"assert password == ""12345""",Chrome 128.0.0.0,,,17-09-2024 15:34:42,17-09-2024 15:34:42,0.001s,PASSED
"setText(findTestObject(""Object Repository/Sign Up/Sign up with numeric userID/input_Repeat password_repeatedPassword""), ""12345"")",Chrome 128.0.0.0,,,17-09-2024 15:34:42,17-09-2024 15:34:46,4.000s,PASSED
